"Are you sure you want to replace category?","Are you sure you want to replace category?"
"Replace Text","Replace Text"
"Are you sure you want to replace text?","Are you sure you want to replace text?"
Replace,Replace
search->replace,search->replace
"Replace field must contain: search->replace","Replace field must contain: search->replace"
"Remove Cross-Sells","Remove Cross-Sells"
"Are you sure you want to remove cross-Sells?","Are you sure you want to remove cross-Sells?"
"Select Algorithm","Select Algorithm"
"Remove Relations","Remove Relations"
"Are you sure you want to remove relations?","Are you sure you want to remove relations?"
"Product associations have been successfully deleted.","Product associations have been successfully deleted."
"Remove Up-sells","Remove Up-sells"
"Are you sure you want to remove up-sells?","Are you sure you want to remove up-sells?"
"Update Advanced Prices","Update Advanced Prices"
"Are you sure you want to update prices?","Are you sure you want to update prices?"
Up-sell,Up-sell
"Are you sure you want to up-sell?","Are you sure you want to up-sell?"
"Before Attribute Text","Before Attribute Text"
"After Attribute Text","After Attribute Text"
label,label
"Selected to IDs","Selected to IDs"
"IDs to Selected","IDs to Selected"
Default,Default
"2 Way","2 Way"
"Multi Way","Multi Way"
"To specific value","To specific value"
"Rounding to two decimal places","Rounding to two decimal places"
"Truncate to two decimal places without rounding","Truncate to two decimal places without rounding"
"Rounding to the nearest integer","Rounding to the nearest integer"
Fixed,Fixed
Discount,Discount
"Remove relations between selected products only","Remove relations between selected products only"
"Remove selected products from ALL relations in the catalog","Remove selected products from ALL relations in the catalog"
"Remove all relations from selected products","Remove all relations from selected products"
"Web Site","Web Site"
"Customer Group","Customer Group"
Quantity,Quantity
"Price Type","Price Type"
"Item Price","Item Price"
Action,Action
Add,Add
"Delete Previously Saved Advanced Pricing","Delete Previously Saved Advanced Pricing"
Apply,Apply
Actions,Actions
"Select Items","Select Items"
Delete,Delete
"Delete Tier","Delete Tier"
"Required field is empty.","Required field is empty."
"Mass Product Actions","Mass Product Actions"
General,General
"Enabled Actions","Enabled Actions"
"Press CTRL+mouse to select multiple values.","Press CTRL+mouse to select multiple values."
"Price Rounding","Price Rounding"
"Specific Value","Specific Value"
"Indicate 0.99 to round 9.43 to 9.99, indicate 0.5 to round 9.43 to 9.50.","Indicate 0.99 to round 9.43 to 9.99, indicate 0.5 to round 9.43 to 9.50."
"Please specify comma separated attribute codes like short_description, meta_keyword, meta_title, etc","Please specify comma separated attribute codes like short_description, meta_keyword, meta_title, etc"
"Replace in Attributes","Replace in Attributes"
"Append Text Position","Append Text Position"
"Product Linking Algorithms","Product Linking Algorithms"
Related,Related
"Relate Direction","Relate Direction"
"Up-sell Direction","Up-sell Direction"
"Cross-sell Direction","Cross-sell Direction"
